source;target;next_n;prev_n;next_e;distance
21;10;9;9;22;0.00177709
21;23;9;11;22;0.00491148
21;11;9;9;22;0.00455424
21;15;18;14;21;0.00318568
21;17;18;14;21;0.00284464
4;17;3;14;3;0.0141871
4;15;3;14;3;0.0145281
4;11;3;9;3;0.0158967
4;10;3;9;3;0.0131195
4;19;3;16;3;0.0128864
4;14;3;16;3;0.0137539
4;24;3;25;3;0.0123725
4;16;3;18;3;0.012534
4;9;3;21;3;0.0127514
4;18;3;21;3;0.0117525
4;22;3;20;3;0.012802
4;21;3;20;3;0.0113424
4;20;3;23;3;0.011148
4;3;3;4;3;0.00191485
4;13;3;3;3;0.00210561
4;0;3;12;3;0.00285107
4;12;3;13;3;0.00276171
4;25;3;7;3;0.0121977
4;1;3;0;3;0.00535812
4;2;3;0;3;0.00332364
4;5;3;1;3;0.00560182
4;6;3;1;3;0.00565638
4;23;3;1;3;0.00660539
4;7;3;5;3;0.00637354
4;8;3;7;3;0.0110136
9;24;11;25;9;0.0109467
9;17;11;14;9;0.0110841
9;15;11;14;9;0.0114252
9;19;11;16;9;0.00978349
9;14;11;16;9;0.010651
9;16;11;18;9;0.00943111
9;0;11;12;9;0.00871395
9;18;11;21;9;0.00864955
9;22;11;20;9;0.00969905
9;21;11;20;9;0.00823949
9;12;11;13;9;0.00862459
9;13;11;3;9;0.00796849
9;10;10;9;8;0.000368077
9;23;11;11;9;0.00350247
9;11;11;9;9;0.00314524
9;5;11;11;9;0.00417603
9;20;11;23;9;0.00804508
9;7;11;5;9;0.00494775
9;1;11;5;9;0.00441973
9;6;11;5;9;0.00465224
9;2;11;6;9;0.00673473
9;25;11;7;9;0.0107719
9;8;11;7;9;0.00958779
9;3;11;2;9;0.00777773
25;17;7;14;41;0.0156685
25;15;7;14;41;0.0160095
25;11;7;9;41;0.0173781
25;10;7;9;41;0.0146009
25;19;7;16;41;0.0143678
25;14;7;16;41;0.0152353
25;16;7;18;41;0.0140155
25;9;7;21;41;0.0142328
25;18;7;21;41;0.0132339
25;22;7;20;41;0.0142834
25;21;7;20;41;0.0128238
25;0;7;12;41;0.0111338
25;12;7;13;41;0.0110444
25;24;24;25;39;0.000174802
25;7;7;25;41;0.00582413
25;20;7;23;41;0.0126294
25;5;7;7;41;0.00659585
25;8;7;7;41;0.0104642
25;1;7;5;41;0.00683955
25;6;7;5;41;0.00707206
25;23;7;1;41;0.00808682
25;2;7;6;41;0.00915454
25;3;7;2;41;0.0101975
25;13;7;3;41;0.0103883
13;17;12;14;29;0.0120814
13;15;12;14;29;0.0124225
13;11;12;9;29;0.013791
13;10;12;9;29;0.0110139
13;19;12;16;29;0.0107808
13;14;12;16;29;0.0116483
13;24;12;25;29;0.0102669
13;16;12;18;29;0.0104284
13;9;12;21;29;0.0106458
13;18;12;21;29;0.00964686
13;22;12;20;29;0.0106964
13;21;12;20;29;0.0092368
13;0;12;12;29;0.000745459
13;12;12;13;29;0.000656099
13;25;12;7;29;0.0100921
13;1;12;0;29;0.00325251
13;2;12;0;29;0.00121802
13;3;12;2;29;0.00226103
13;5;12;1;29;0.00349621
13;6;12;1;29;0.00355076
13;23;12;1;29;0.00449978
13;7;12;5;29;0.00426793
13;20;12;23;29;0.00904239
13;8;12;7;29;0.00890797
1;17;23;14;28;0.00882893
1;15;23;14;28;0.00916997
1;11;23;9;28;0.0105385
1;10;23;9;28;0.00776138
1;19;23;16;28;0.00752829
1;14;23;16;28;0.00839575
1;24;5;25;26;0.00701435
1;16;23;18;28;0.00717591
1;9;23;21;28;0.0073933
1;18;23;21;28;0.00639435
1;22;23;20;28;0.00744385
1;21;23;20;28;0.00598429
1;5;5;1;26;0.000243695
1;6;6;1;27;0.000298253
1;23;23;1;28;0.00124727
1;7;5;5;26;0.00101542
1;20;23;23;28;0.00578988
1;2;6;6;27;0.00238074
1;25;5;7;26;0.00683955
1;12;6;13;27;0.00427061
1;8;5;7;26;0.00565545
1;3;6;2;27;0.00342374
1;13;6;3;27;0.00361451
1;0;6;12;27;0.00435996
11;24;5;25;31;0.00780145
11;17;23;14;30;0.00793889
11;15;23;14;30;0.00827993
11;10;23;9;30;0.00687134
11;19;23;16;30;0.00663826
11;14;23;16;30;0.00750572
11;16;23;18;30;0.00628587
11;0;5;12;31;0.00556871
11;9;23;21;30;0.00650326
11;18;23;21;30;0.00550431
11;22;23;20;30;0.00655381
11;21;23;20;30;0.00509426
11;23;23;11;30;0.000357232
11;5;5;11;31;0.0010308
11;20;23;23;30;0.00489984
11;7;5;5;31;0.00180252
11;1;5;5;31;0.00127449
11;6;5;5;31;0.001507
11;2;5;6;31;0.00358949
11;25;5;7;31;0.00762665
11;12;5;13;31;0.00547935
11;8;5;7;31;0.00644256
11;3;5;2;31;0.00463249
11;13;5;3;31;0.00482326
5;17;1;14;4;0.00907262
5;15;1;14;4;0.00941367
5;11;1;9;4;0.0107822
5;10;1;9;4;0.00800507
5;19;1;16;4;0.00777199
5;14;1;16;4;0.00863945
5;16;1;18;4;0.0074196
5;24;7;25;6;0.00677065
5;9;1;21;4;0.007637
5;18;1;21;4;0.00663805
5;22;1;20;4;0.00768754
5;21;1;20;4;0.00622799
5;1;1;5;4;0.000243695
5;6;6;5;5;0.000476207
5;7;7;5;6;0.000771721
5;20;1;23;4;0.00603358
5;23;1;1;4;0.00149096
5;2;6;6;5;0.00255869
5;25;7;7;6;0.00659585
5;12;6;13;5;0.00444856
5;8;7;7;6;0.00541176
5;3;6;2;5;0.0036017
5;13;6;3;5;0.00379246
5;0;6;12;5;0.00453792
2;17;3;14;2;0.0133152
2;15;3;14;2;0.0136562
2;11;3;9;2;0.0150248
2;10;3;9;2;0.0122477
2;19;3;16;2;0.0120146
2;14;3;16;2;0.012882
2;24;3;25;2;0.0115006
2;16;3;18;2;0.0116622
2;9;3;21;2;0.0118796
2;18;3;21;2;0.0108806
2;22;3;20;2;0.0119301
2;21;3;20;2;0.0104706
2;3;3;2;2;0.001043
2;13;3;3;2;0.00123377
2;0;3;12;2;0.00197922
2;12;3;13;2;0.00188987
2;25;3;7;2;0.0113258
2;1;3;0;2;0.00448628
2;5;3;1;2;0.00472997
2;6;3;1;2;0.00478453
2;23;3;1;2;0.00573355
2;7;3;5;2;0.00550169
2;20;3;23;2;0.0102762
2;8;3;7;2;0.0101417
